text,intent
"My claim was denied","claims"
"Claim ABC123 status?","claims"
"Appeal my denied claim","claims"
"EOB explanation needed","claims"
"Check coverage for procedure","claims"
"Why was my claim rejected?","claims"
"Claim shows pending, any update?","claims"
"Status of my reimbursement claim","claims"
"My claim is under review","claims"
"Claim approved but no payment received","claims"
"Claim partially approved, why?","claims"
"How long does claim processing take?","claims"
"I need claim settlement details","claims"
"Resubmit my claim with documents","claims"
"Which documents are missing for my claim?","claims"
"Claim denied due to missing info","claims"
"Where can I upload claim papers?","claims"
"Track my claim for last week's visit","claims"
"My cashless claim was rejected at hospital","claims"
"Claim amount looks wrong","claims"
"My claim is stuck for two weeks","claims"
"Check claim history for this year","claims"
"Claim shows closed, what does it mean?","claims"
"Can you reopen a denied claim?","claims"
"I received a denial letter for my claim","claims"
"Need explanation for claim denial code","claims"
"Claim says processed, what next?","claims"
"Where is my insurance claim payment?","claims"
"I want to escalate my claim issue","claims"
"My claim status changed today","claims"

"Invoice #456 wrong amount","billing"
"Payment not received","billing"
"Refund my overpayment","billing"
"Update payment method","billing"
"Explain my deductible","billing"
"I was charged twice on my bill","billing"
"My invoice total is incorrect","billing"
"Why is my bill higher than expected?","billing"
"Extra charges added to my statement","billing"
"My card was charged but transaction failed","billing"
"Payment deducted but bill still shows due","billing"
"Send me my billing receipt","billing"
"How do I download my invoice?","billing"
"Resend my invoice to email","billing"
"I want a breakdown of charges","billing"
"What is this copay amount?","billing"
"Why am I being billed if insurance covers it?","billing"
"My bill includes duplicate service charges","billing"
"I need to update billing address","billing"
"Incorrect tax applied on my invoice","billing"
"I want to pay my pending balance","billing"
"My payment shows pending for long time","billing"
"How to change my credit card for payment?","billing"
"Late fee added to my bill","billing"
"I didn't receive invoice but got payment reminder","billing"
"Chargeback request for wrong payment","billing"
"My bill shows an unknown service fee","billing"
"Why did my payment get declined?","billing"
"Outstanding balance details please","billing"
"My receipt does not match billed amount","billing"

"Book dentist appointment","scheduling"
"Reschedule my 2pm visit","scheduling"
"Find available doctors","scheduling"
"Cancel my appointment","scheduling"
"Doctor availability Tuesday?","scheduling"
"Schedule a checkup for next week","scheduling"
"Book an appointment with dermatologist","scheduling"
"Need earliest appointment slot","scheduling"
"Move my appointment to Friday","scheduling"
"Change my appointment time to evening","scheduling"
"I want to confirm my appointment time","scheduling"
"Can I book a follow-up appointment?","scheduling"
"Any slots available today?","scheduling"
"Reschedule to next Monday morning","scheduling"
"I missed my appointment, rebook please","scheduling"
"Cancel and refund appointment booking","scheduling"
"Switch my appointment to another doctor","scheduling"
"Book a vaccination appointment","scheduling"
"Schedule lab test appointment","scheduling"
"Change appointment location","scheduling"
"What time is my next appointment?","scheduling"
"Need appointment for back pain specialist","scheduling"
"Find doctors available this weekend","scheduling"
"Book video consultation appointment","scheduling"
"Reschedule appointment from 3pm to 5pm","scheduling"
"Can you schedule a yearly checkup?","scheduling"
"I want to book an urgent visit","scheduling"
"List available slots for Dr. Mehta","scheduling"
"Confirm my clinic visit schedule","scheduling"
"Help me book an appointment","scheduling"

"I'm confused about my coverage","triage"
"Not sure which department","triage"
"General question about benefits","triage"
"Help me get started","triage"
"Where do I begin?","triage"
"I need help but I'm not sure what to choose","triage"
"I don’t know if this is billing or claim related","triage"
"Can you guide me to the right place?","triage"
"I have a question about my insurance","triage"
"I’m stuck, not sure what to do next","triage"
"Which option should I select for my issue?","triage"
"I need assistance with my account","triage"
"Please direct me to the right team","triage"
"I have multiple issues, where to start?","triage"
"I'm new here, how does this work?","triage"
"Can you explain what steps I should take?","triage"
"I need support but don't know the category","triage"
"Help me understand my plan options","triage"
"I don't understand the process","triage"
"Can someone guide me?","triage"
